gml:id,gml:metaDataProperty,gml:description,gml:name,gml:boundedBy,gml:location,erl:identifier,erl:name,erl:mineralOccurrenceType,erl:commodity,erl:mineName,erl:geologicHistory,erl:hostGeologicUnit,erl:mineralDepositModel,erl:mineralOccurrenceShape,erl:explorationActivityType,erl:explorationActivityDuration,erl:explorationResult,erl:observationMethod,erl:positionalAccuracy,erl:source,erl:mineralOccurrenceType_uri,erl:representativeCommodity_uri,erl:mine_uri,erl:hostGeologicUnit_uri,erl:mineralDepositModel_uri,erl:representativeAge_uri,erl:representativeOlderAge_uri,erl:representativeYoungerAge_uri,erl:specification_uri,erl:shape
ga.erl.mineraloccurrenceview.333696,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333696,Huntly,deposit,"Bauxite, (Alumina)",Huntly,Cenozoic,,,,,,,"satellite image, Google",100 metres,"Alcoa Incorporated, Alumina Limited",http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/bauxite,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333696,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333696,POINT (116.1664963809 -32.555794760343765)
ga.erl.mineraloccurrenceview.333697,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333697,Skal,deposit,"Uranium, Uranium oxide",Skal,Proterozoic,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/uranium,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333697,,,http://resource.geosciml.org/classifier/ics/ischart/Proterozoic,http://resource.geosciml.org/classifier/ics/ischart/Proterozoic,http://resource.geosciml.org/classifier/ics/ischart/Proterozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333697,POINT (139.4620098996 -20.433050438971463)
ga.erl.mineraloccurrenceview.333699,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333699,Montacute,deposit,"Copper, Gold",Montacute,Early Paleozoic,,,,,,,method unknown,50 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333699,,,http://resource.geosciml.org/classifier/ics/ischart/Silurian,http://resource.geosciml.org/classifier/ics/ischart/Cambrian,http://resource.geosciml.org/classifier/ics/ischart/Silurian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333699,POINT (138.7670827644 -34.88011511394936)
ga.erl.mineraloccurrenceview.333701,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333701,Scarsdale-Berringa Goldfield,deposit,Gold,Scarsdale-Berringa Goldfield,Late Ordovician,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333701,,,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333701,POINT (143.6833093032 -37.730013133024855)
ga.erl.mineraloccurrenceview.333702,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333702,Chiltern,deposit,Gold,Chiltern,Cenozoic,,,,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333702,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333702,POINT (146.57545025350004 -36.149211377957435)
ga.erl.mineraloccurrenceview.333703,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333703,Aurukun,deposit,", (Alumina, Bauxite)",Aurukun,Cenozoic,,,,,,,method unknown,2000 metres,State of Queensland,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/alumina,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333703,,,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333703,POINT (141.8332891006 -13.363706584269197)
ga.erl.mineraloccurrenceview.333704,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333704,Wild Cattle Creek,deposit,"Gold, (Antimony, Tungsten)",Wild Cattle Creek,Late Paleozoic,,,,,,,"State or NT agency supplied location, method unknown",500 metres,Anchor Resources Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333704,,,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333704,POINT (152.7203 -30.225600026687086)
ga.erl.mineraloccurrenceview.333705,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333705,Maules Creek,deposit,Coal - black,Maules Creek,Permian,,,,,,,method unknown,500 metres,Whitehaven Coal Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/black-coal,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333705,,,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://resource.geosciml.org/classifier/ics/ischart/Permian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333705,POINT (150.1542337058 -30.545121279203094)
ga.erl.mineraloccurrenceview.333706,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333706,Felton,deposit,Coal - black,Felton,Middle Jurassic,,,,,,,method unknown,2000 metres,Newmont Mining Corporation,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/black-coal,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333706,,,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333706,POINT (151.6181990599 -27.79419978447515)
ga.erl.mineraloccurrenceview.333707,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333707,Cleveland,deposit,"Tin, Copper, (Tungsten trioxide (wolframite), Tungsten, Molybdenum, Bismuth)",Cleveland,Devonian,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/tin,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333707,,,http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333707,POINT (145.3849995107 -41.477024206377465)
ga.erl.mineraloccurrenceview.333708,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333708,Eureka - Bardoc,deposit,Gold,Eureka - Bardoc,Archean,,,,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333708,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333708,POINT (121.2545872569 -30.3269156092511)
ga.erl.mineraloccurrenceview.333709,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333709,Channar JV,deposit,"Iron, Iron ore",Channar JV,Precambrian,,,,,,,method unknown,100 metres,Rio Tinto Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333709,,,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333709,POINT (117.78859198690002 -23.29937995352521)
